memory,type,is_cold,exec_time,connection_time,client_time,provider_time
256,cold,True,1870272,0.1164,5143751,1881
256,cold,True,1929042,0.144491,5494575,1943
256,cold,True,1952791,0.156129,4809676,1963
256,cold,True,2020853,0.07779,5232793,2038
256,cold,True,2032698,0.118469,5389456,2047
256,cold,True,1919878,0.092536,4949470,1930
256,cold,True,1931394,0.081796,5509800,1943
256,cold,True,1812235,0.145733,5638222,1825
256,cold,True,2641250,0.074966,5884250,2652
256,cold,True,2010492,0.099726,6395952,2024
256,cold,True,2083632,0.09586,6006075,2096
256,cold,True,1705291,0.127401,3888200,1715
256,cold,True,1775572,0.08152,4332703,1788
256,cold,True,1812332,0.082997,4878082,1827
256,cold,True,2174494,0.460638,7327245,2194
256,cold,True,1956685,0.087849,5381754,1968
256,cold,True,1915616,0.085859,4545464,1929
256,cold,True,1859929,0.089643,5017236,1875
256,cold,True,1870219,0.092103,5227065,1886
256,cold,True,2034233,0.078803,4969046,2047
256,cold,True,1714773,0.08701,4853504,1726
256,cold,True,1569358,0.100973,4377596,1579
256,cold,True,1822384,0.068515,4339183,1837
256,cold,True,2110556,0.089372,5460168,2123
256,cold,True,1932615,0.093006,5615922,1949
256,cold,True,1914563,0.151129,5444492,1926
256,cold,True,1944625,0.109033,5127760,1958
256,cold,True,1879761,0.139655,5151419,1893
256,cold,True,2053348,0.090677,5098190,2066
256,cold,True,1950475,0.141673,6177203,1964
256,cold,True,5187398,0.076799,5325584,5198
256,cold,True,1889182,0.065341,4932641,1903
256,cold,True,1833977,0.086928,4690552,1846
256,cold,True,2062014,0.133098,4537232,2073
256,cold,True,1939909,0.10752,5530433,1957
256,cold,True,1936793,0.081904,5429419,1948
256,cold,True,1887730,0.129751,5675132,1902
256,cold,True,1745473,0.091489,4437715,1758
256,cold,True,2041519,0.0593,5525243,2056
256,cold,True,2007274,0.128471,5505630,2020
256,cold,True,1732712,0.105654,4708581,1743
256,cold,True,2148586,0.078846,5496699,2163
256,cold,True,1995683,0.076266,5478057,2010
256,cold,True,1972101,0.082249,5425892,1983
256,cold,True,1805627,0.067391,5186668,1819
256,cold,True,2170159,0.0846,4414740,2181
256,cold,True,1787716,0.093625,4807180,1802
256,cold,True,1762989,0.082067,4342061,1775
256,cold,True,2705778,0.090971,5895593,2719
256,cold,True,1834735,0.091319,4765423,1845
256,cold,True,2100129,0.087842,5597211,2113
256,cold,True,1753106,0.080826,4601604,1767
256,cold,True,1956180,0.142649,5443630,1972
256,cold,True,1949826,0.08521,5580370,1963
256,cold,True,1915020,0.076158,4881336,1926
256,cold,True,1830684,0.078987,4655273,1841
256,cold,True,2022191,0.139508,5761833,2038
256,cold,True,1994102,0.098009,5823000,2007
256,cold,True,1908817,0.116907,3886182,1922
256,cold,True,1737536,0.095816,4714227,1749
256,cold,True,1807544,0.138114,4731168,1818
256,cold,True,1914125,0.080246,5187852,1925
256,cold,True,1806333,0.132884,4711786,1817
256,cold,True,1815416,0.094725,5424447,1826
256,cold,True,1935347,0.140612,4837320,1947
256,cold,True,2227223,0.457185,6931071,2242
256,cold,True,1828804,0.089813,5061389,1839
